,Ware_house_ID,WH_Manager_ID,Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,wh_est_year,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton
21,WH_100021,EID_50021,Rural,Mid,South,Zone 3,6,0,2,3980,Company Owned,49,0,0,1,156,31.0,2010.0,14,1,B+,6,19,17117
22,WH_100022,EID_50022,Rural,Small,North,Zone 6,5,0,4,3588,Company Owned,69,0,0,0,199,24.0,1997.0,28,1,C,6,8,40150
23,WH_100023,EID_50023,Rural,Mid,South,Zone 3,8,1,2,4388,Company Owned,32,0,0,1,80,37.0,2003.0,25,0,C,5,19,32098
24,WH_100024,EID_50024,Urban,Large,West,Zone 5,1,0,4,5670,Rented,25,0,0,1,140,31.0,,12,0,C,2,14,15125
25,WH_100025,EID_50025,Rural,Mid,North,Zone 3,7,1,3,5496,Company Owned,46,0,0,0,67,31.0,2006.0,22,0,B,3,27,26066
26,WH_100026,EID_50026,Rural,Small,West,Zone 6,5,3,4,4063,Company Owned,40,0,0,1,229,21.0,,8,0,C,6,9,10077
27,WH_100027,EID_50027,Rural,Small,South,Zone 6,8,3,2,5790,Rented,31,0,0,0,98,36.0,,11,0,C,4,9,14150
28,WH_100028,EID_50028,Rural,Small,North,Zone 6,3,1,1,7692,Company Owned,62,1,0,0,154,20.0,,0,0,,0,8,3123
29,WH_100029,EID_50029,Rural,Large,West,Zone 6,8,0,4,5119,Company Owned,48,0,0,0,261,24.0,2019.0,6,1,A,1,6,8056
30,WH_100030,EID_50030,Rural,Mid,West,Zone 4,5,0,4,4552,Rented,67,0,0,0,230,17.0,2017.0,12,0,B+,5,11,15082
31,WH_100031,EID_50031,Rural,Large,North,Zone 6,4,0,2,3540,Rented,21,0,0,0,164,19.0,2009.0,18,1,B+,6,23,21064
32,WH_100032,EID_50032,Rural,Mid,South,Zone 2,4,0,3,3559,Company Owned,51,0,0,1,197,29.0,2003.0,34,0,A,4,12,45061
33,WH_100033,EID_50033,Rural,Mid,South,Zone 4,7,0,2,6695,Rented,51,0,0,1,80,24.0,2015.0,14,1,A+,3,26,21116
34,WH_100034,EID_50034,Rural,Small,South,Zone 6,4,0,2,5329,Company Owned,57,0,0,0,262,46.0,2012.0,16,0,C,1,2,22055
35,WH_100035,EID_50035,Rural,Large,North,Zone 5,0,1,4,5353,Rented,28,0,0,1,80,30.0,,0,0,,0,24,4141
36,WH_100036,EID_50036,Rural,Large,West,Zone 5,5,0,3,4031,Company Owned,59,0,0,1,125,24.0,1998.0,34,0,B,5,14,42116
37,WH_100037,EID_50037,Rural,Mid,East,Zone 3,0,1,8,6804,Rented,59,0,0,0,77,29.0,,17,0,B,4,27,19100
38,WH_100038,EID_50038,Rural,Large,West,Zone 6,5,0,4,6915,Company Owned,16,0,0,1,94,33.0,2021.0,0,0,,0,23,6117
39,WH_100039,EID_50039,Rural,Mid,South,Zone 3,7,0,3,4243,Company Owned,23,0,0,1,153,43.0,2006.0,38,0,B,2,19,47071
40,WH_100040,EID_50040,Rural,Large,West,Zone 6,3,0,4,6729,Rented,21,0,0,1,80,32.0,2004.0,23,1,C,5,23,32117
41,WH_100041,EID_50041,Rural,Small,South,Zone 1,1,0,1,4487,Company Owned,46,0,1,1,216,,,25,0,C,5,21,31087
42,WH_100042,EID_50042,Rural,Large,North,Zone 6,5,2,2,4714,Rented,17,0,0,0,247,26.0,,16,1,A+,3,28,20149
43,WH_100043,EID_50043,Rural,Large,North,Zone 6,5,0,2,3285,Company Owned,56,0,0,0,123,28.0,2000.0,25,0,C,4,28,31139
44,WH_100044,EID_50044,Rural,Large,North,Zone 6,7,1,2,4922,Rented,22,0,0,0,167,20.0,2005.0,22,0,B,4,23,27137
45,WH_100045,EID_50045,Urban,Large,West,Zone 5,7,0,3,5667,Company Owned,63,0,0,1,220,38.0,2015.0,21,1,A+,3,14,31113
46,WH_100046,EID_50046,Rural,Mid,South,Zone 4,1,1,3,5551,Rented,30,0,0,0,134,30.0,,15,0,A,2,26,20092
47,WH_100047,EID_50047,Rural,Large,North,Zone 6,3,0,3,4200,Rented,57,0,0,1,216,39.0,1998.0,36,0,A,6,28,49083
48,WH_100048,EID_50048,Rural,Large,West,Zone 6,1,0,2,5601,Rented,53,0,0,0,64,40.0,,9,0,B,1,29,10145
49,WH_100049,EID_50049,Urban,Large,South,Zone 5,3,0,3,3700,Company Owned,66,0,0,1,196,26.0,2000.0,31,1,A+,5,10,44116
50,WH_100050,EID_50050,Rural,Mid,West,Zone 3,4,0,4,4020,Rented,36,0,0,0,240,23.0,2016.0,6,1,A+,5,19,8127
51,WH_100051,EID_50051,Urban,Large,West,Zone 6,4,0,4,4472,Company Owned,50,0,0,1,85,23.0,,20,1,C,3,6,27128
52,WH_100052,EID_50052,Rural,Mid,North,Zone 4,3,0,5,4248,Company Owned,29,0,0,1,242,31.0,2009.0,16,0,B+,5,26,20127
53,WH_100053,EID_50053,Rural,Mid,North,Zone 2,6,1,2,3943,Rented,38,0,0,0,190,19.0,2008.0,18,0,A,4,1,23149
54,WH_100054,EID_50054,Rural,Mid,South,Zone 3,4,0,2,4897,Rented,44,0,0,0,253,27.0,2011.0,18,1,A+,2,27,23134
55,WH_100055,EID_50055,Rural,Small,North,Zone 6,3,0,4,4524,Company Owned,55,0,0,1,66,24.0,2015.0,14,0,B+,3,13,18150
56,WH_100056,EID_50056,Rural,Large,West,Zone 6,6,0,4,5559,Rented,49,0,0,0,229,20.0,2014.0,9,1,B+,4,23,10080
57,WH_100057,EID_50057,Rural,Large,North,Zone 6,2,4,2,5308,Rented,69,0,0,1,77,39.0,,17,0,B,3,23,19095
58,WH_100058,EID_50058,Rural,Small,South,Zone 1,1,1,2,4004,Company Owned,38,1,0,1,168,27.0,,25,1,C,4,21,32057
59,WH_100059,EID_50059,Urban,Large,North,Zone 5,8,0,2,7311,Company Owned,62,0,0,1,219,34.0,2010.0,21,0,A,6,17,28127
60,WH_100060,EID_50060,Urban,Small,North,Zone 1,4,0,2,4657,Rented,39,0,0,0,110,17.0,2000.0,23,0,B+,5,30,27107
61,WH_100061,EID_50061,Rural,Small,North,Zone 6,2,0,4,3810,Rented,54,0,0,1,69,30.0,,31,1,A+,2,13,44129
62,WH_100062,EID_50062,Rural,Large,South,Zone 6,7,0,4,4445,Rented,47,1,1,1,239,29.0,2012.0,10,1,A+,5,23,13061
63,WH_100063,EID_50063,Rural,Mid,South,Zone 2,3,1,2,5193,Rented,30,0,0,0,237,26.0,2011.0,20,1,A+,6,32,25145
64,WH_100064,EID_50064,Rural,Large,North,Zone 6,1,1,2,4770,Company Owned,37,0,0,1,113,16.0,,22,0,B,2,7,26060
65,WH_100065,EID_50065,Rural,Large,West,Zone 5,5,0,4,5772,Company Owned,28,0,0,1,181,32.0,1999.0,25,0,B+,3,25,28143
66,WH_100066,EID_50066,Rural,Mid,South,Zone 4,4,0,4,6074,Rented,49,0,0,0,255,22.0,2000.0,32,0,C,4,26,44116
67,WH_100067,EID_50067,Rural,Large,North,Zone 5,1,0,3,6720,Rented,30,0,1,1,90,25.0,,22,0,B+,4,17,27069
68,WH_100068,EID_50068,Rural,Mid,South,Zone 4,7,0,2,4135,Rented,68,0,0,0,151,19.0,2003.0,27,0,B+,6,26,34108
69,WH_100069,EID_50069,Rural,Mid,South,Zone 2,6,1,3,3880,Company Owned,23,0,1,1,112,35.0,,9,1,B+,3,32,11134
70,WH_100070,EID_50070,Rural,Mid,South,Zone 2,2,1,2,4821,Rented,68,0,0,1,196,44.0,,17,1,C,3,32,22121
71,WH_100071,EID_50071,Rural,Mid,North,Zone 2,3,5,2,4197,Company Owned,29,0,0,1,90,38.0,,16,1,A+,4,22,21076
72,WH_100072,EID_50072,Rural,Large,West,Zone 6,6,0,2,3820,Rented,50,0,0,1,58,29.0,2014.0,14,1,B+,1,23,18149
73,WH_100073,EID_50073,Urban,Large,North,Zone 6,2,3,3,3973,Company Owned,36,0,0,1,140,22.0,,22,0,C,5,6,27151
74,WH_100074,EID_50074,Rural,Mid,North,Zone 3,2,0,2,4244,Company Owned,38,0,0,1,255,29.0,,13,1,B+,3,19,17143
75,WH_100075,EID_50075,Rural,Large,North,Zone 5,6,0,3,2802,Company Owned,40,0,0,1,256,28.0,2010.0,16,1,A,6,24,21130
76,WH_100076,EID_50076,Rural,Large,North,Zone 6,0,1,1,8913,Rented,55,0,0,1,95,38.0,,14,0,C,6,29,18118
77,WH_100077,EID_50077,Urban,Mid,North,Zone 2,3,0,2,5309,Company Owned,16,0,0,1,84,37.0,,26,0,B,2,12,30115
78,WH_100078,EID_50078,Rural,Small,West,Zone 6,0,0,4,5957,Company Owned,33,0,0,0,83,22.0,,8,0,C,1,15,10060
79,WH_100079,EID_50079,Rural,Mid,West,Zone 4,8,2,4,3919,Rented,49,0,0,0,173,18.0,,6,1,A+,5,26,8102
80,WH_100080,EID_50080,Rural,Large,West,Zone 6,5,0,4,7117,Company Owned,23,0,0,0,212,25.0,2008.0,18,0,B,3,23,20090
81,WH_100081,EID_50081,Rural,Small,West,Zone 6,2,1,2,4339,Rented,63,0,0,1,158,11.0,,14,0,B+,5,15,17140
82,WH_100082,EID_50082,Rural,Large,North,Zone 5,4,2,4,4407,Rented,19,0,0,1,103,21.0,,18,0,A,3,24,22100
83,WH_100083,EID_50083,Urban,Large,North,Zone 6,1,0,4,4760,Company Owned,48,0,0,1,55,34.0,,26,0,A,4,28,35130
84,WH_100084,EID_50084,Rural,Large,North,Zone 5,7,0,2,5526,Company Owned,27,1,1,1,257,32.0,2013.0,13,0,C,6,17,17097
85,WH_100085,EID_50085,Urban,Mid,South,Zone 2,8,0,2,5245,Rented,18,0,1,0,70,31.0,2011.0,18,1,B+,1,32,24113
86,WH_100086,EID_50086,Rural,Small,East,Zone 1,4,0,4,4564,Company Owned,56,0,1,1,160,37.0,1996.0,28,1,A+,5,31,39115
87,WH_100087,EID_50087,Rural,Large,South,Zone 5,7,0,2,6633,Company Owned,27,0,0,0,181,33.0,2012.0,14,1,B,3,14,18123
88,WH_100088,EID_50088,Rural,Large,North,Zone 6,1,1,2,6917,Company Owned,35,0,0,1,220,28.0,,4,0,C,2,28,5103
89,WH_100089,EID_50089,Rural,Mid,North,Zone 4,7,0,3,4156,Company Owned,39,0,0,1,96,43.0,2019.0,6,0,B,5,26,7118
90,WH_100090,EID_50090,Rural,Mid,West,Zone 4,1,1,4,4980,Company Owned,36,1,0,1,108,26.0,,14,0,C,6,26,18117
91,WH_100091,EID_50091,Rural,Large,North,Zone 5,8,1,3,4821,Company Owned,59,0,0,1,271,28.0,2011.0,23,1,B+,2,14,28094
92,WH_100092,EID_50092,Rural,Large,West,Zone 6,0,2,5,4456,Rented,38,0,1,1,124,25.0,,24,0,A,3,6,31059
93,WH_100093,EID_50093,Rural,Mid,South,Zone 3,5,2,2,4824,Rented,45,0,0,0,263,17.0,,16,0,B+,4,19,18080
94,WH_100094,EID_50094,Rural,Large,North,Zone 6,5,2,4,3520,Rented,45,0,0,0,239,22.0,,14,0,B+,1,29,16060
95,WH_100095,EID_50095,Rural,Mid,North,Zone 3,2,0,4,4739,Rented,17,0,0,0,234,17.0,,22,0,B,3,19,27150
96,WH_100096,EID_50096,Rural,Mid,West,Zone 4,7,0,4,5299,Company Owned,35,0,0,0,109,23.0,1997.0,34,0,C,2,11,46100
97,WH_100097,EID_50097,Rural,Large,North,Zone 6,0,1,2,5239,Rented,65,0,0,1,198,25.0,,14,0,A+,6,28,19131
98,WH_100098,EID_50098,Rural,Mid,South,Zone 4,1,0,2,6086,Rented,38,0,0,0,182,23.0,,6,0,B+,5,20,7105
99,WH_100099,EID_50099,Rural,Mid,North,Zone 4,3,0,3,4477,Company Owned,34,0,0,0,173,27.0,2021.0,0,0,,0,26,14130
100,WH_100100,EID_50100,Rural,Mid,North,Zone 2,7,0,4,5118,Company Owned,39,0,0,1,114,39.0,1997.0,24,1,B,3,1,31133
101,WH_100101,EID_50101,Rural,Mid,South,Zone 2,1,0,2,5104,Rented,28,0,0,1,166,29.0,,8,0,B+,1,32,10140
102,WH_100102,EID_50102,Rural,Mid,North,Zone 4,2,0,5,5218,Rented,24,0,0,1,151,32.0,,18,0,A+,4,26,22122
103,WH_100103,EID_50103,Rural,Mid,West,Zone 4,6,0,4,5117,Company Owned,51,0,0,1,96,32.0,2016.0,14,0,B+,3,26,18139
104,WH_100104,EID_50104,Rural,Mid,West,Zone 4,1,1,5,5392,Company Owned,58,0,1,1,158,27.0,,23,0,C,5,11,29073
105,WH_100105,EID_50105,Rural,Mid,West,Zone 2,5,0,4,4221,Company Owned,54,1,0,1,141,24.0,2015.0,12,1,A+,5,12,17058
106,WH_100106,EID_50106,Rural,Mid,South,Zone 4,5,0,3,6299,Company Owned,21,0,0,1,261,29.0,2014.0,16,0,B,5,26,20057
107,WH_100107,EID_50107,Rural,Large,West,Zone 5,5,0,2,6541,Company Owned,52,0,0,1,165,20.0,2020.0,10,1,C,3,14,14103
108,WH_100108,EID_50108,Rural,Mid,West,Zone 4,7,0,4,5879,Rented,67,0,1,1,204,25.0,2017.0,6,0,C,6,11,8070
109,WH_100109,EID_50109,Rural,Large,South,Zone 6,7,1,3,3430,Company Owned,34,0,0,0,262,27.0,,11,0,C,4,29,14105
110,WH_100110,EID_50110,Rural,Large,North,Zone 5,6,1,2,5285,Company Owned,62,1,0,1,141,44.0,,7,0,A,2,25,9114
111,WH_100111,EID_50111,Rural,Mid,West,Zone 4,5,0,3,5153,Company Owned,64,0,0,1,60,29.0,,4,0,B,3,11,5105
112,WH_100112,EID_50112,Rural,Large,West,Zone 6,7,3,5,2748,Rented,56,0,0,0,130,22.0,,12,0,B+,3,23,14114
113,WH_100113,EID_50113,Rural,Mid,South,Zone 4,2,1,3,6590,Company Owned,27,0,0,1,254,12.0,,18,0,B+,5,26,22062
114,WH_100114,EID_50114,Rural,Mid,South,Zone 2,7,0,2,3795,Rented,28,0,0,1,227,31.0,2010.0,18,1,A+,5,32,24111
115,WH_100115,EID_50115,Rural,Small,South,Zone 6,4,0,2,5278,Company Owned,51,0,0,1,247,27.0,2008.0,20,0,A,5,9,28121
116,WH_100116,EID_50116,Rural,Mid,West,Zone 2,3,0,4,4418,Rented,64,0,0,1,78,22.0,1997.0,37,0,A,4,1,50124
117,WH_100117,EID_50117,Rural,Mid,South,Zone 2,5,0,3,4204,Rented,67,0,0,0,248,18.0,2023.0,0,0,,0,32,6106
118,WH_100118,EID_50118,Rural,Small,South,Zone 6,2,1,2,4292,Company Owned,49,0,0,1,252,31.0,,28,0,C,5,2,36111
119,WH_100119,EID_50119,Rural,Large,South,Zone 5,2,0,3,6780,Company Owned,40,0,0,1,261,23.0,,7,0,B+,2,25,8097
120,WH_100120,EID_50120,Rural,Small,West,Zone 6,7,3,3,3046,Company Owned,69,0,0,1,177,33.0,,14,0,B+,4,15,16150
121,WH_100121,EID_50121,Rural,Large,South,Zone 6,5,0,2,4119,Rented,31,0,0,1,105,27.0,2010.0,15,0,B,4,29,19088
122,WH_100122,EID_50122,Rural,Small,West,Zone 1,4,0,4,5340,Company Owned,49,0,0,0,69,29.0,2000.0,26,1,C,2,3,34129
123,WH_100123,EID_50123,Rural,Large,North,Zone 5,4,2,3,6298,Company Owned,51,0,0,0,79,33.0,,4,0,B,2,14,5103
124,WH_100124,EID_50124,Rural,Large,South,Zone 5,3,1,3,5243,Company Owned,40,0,0,0,232,29.0,,22,0,B,6,14,26132
125,WH_100125,EID_50125,Rural,Mid,West,Zone 4,2,1,2,6320,Company Owned,38,0,0,1,66,33.0,,30,0,B+,2,11,36131
126,WH_100126,EID_50126,Rural,Mid,South,Zone 3,8,0,2,4172,Company Owned,68,0,0,1,171,27.0,2009.0,18,0,B,6,27,20065
127,WH_100127,EID_50127,Rural,Small,East,Zone 1,8,0,8,3948,Rented,54,1,0,1,161,25.0,2011.0,15,0,B,5,31,19124
128,WH_100128,EID_50128,Rural,Mid,South,Zone 2,6,0,2,4078,Company Owned,49,0,0,1,110,24.0,,21,0,B+,4,12,24128
129,WH_100129,EID_50129,Rural,Mid,North,Zone 2,4,0,2,4430,Company Owned,33,0,0,0,92,32.0,2014.0,20,0,C,2,12,27085
130,WH_100130,EID_50130,Rural,Small,North,Zone 6,8,1,3,5041,Company Owned,31,0,0,1,262,26.0,1998.0,26,0,C,4,13,33074
131,WH_100131,EID_50131,Rural,Mid,South,Zone 2,7,0,3,3825,Company Owned,54,0,0,1,223,40.0,2022.0,5,0,B,1,32,6079
132,WH_100132,EID_50132,Rural,Small,North,Zone 1,1,1,2,4554,Rented,31,0,1,1,144,39.0,,24,0,A,4,3,30106
133,WH_100133,EID_50133,Rural,Mid,South,Zone 3,8,0,3,4334,Company Owned,53,0,0,1,86,31.0,2010.0,15,1,A+,4,27,21064
134,WH_100134,EID_50134,Rural,Small,North,Zone 1,6,1,4,5013,Company Owned,32,1,0,1,225,36.0,,11,1,A+,6,21,14062
135,WH_100135,EID_50135,Rural,Mid,South,Zone 4,8,1,3,4670,Company Owned,55,0,1,1,128,31.0,2006.0,24,0,A,4,26,31107
136,WH_100136,EID_50136,Rural,Large,North,Zone 5,4,3,2,5862,Rented,26,0,0,0,196,18.0,,16,0,A,4,5,21093
137,WH_100137,EID_50137,Rural,Large,West,Zone 6,7,0,4,4393,Company Owned,59,1,0,1,145,32.0,2014.0,9,0,A,4,23,12055
138,WH_100138,EID_50138,Rural,Mid,West,Zone 3,1,1,4,5150,Company Owned,48,0,0,1,99,25.0,,6,0,C,1,19,8146
139,WH_100139,EID_50139,Rural,Small,West,Zone 6,7,1,7,6062,Company Owned,32,0,0,1,115,39.0,2013.0,18,1,A+,1,15,24069
140,WH_100140,EID_50140,Rural,Large,North,Zone 6,4,2,5,4396,Rented,58,0,0,1,187,37.0,2002.0,15,1,A+,4,28,19128
141,WH_100141,EID_50141,Rural,Small,North,Zone 1,1,0,6,4279,Company Owned,55,0,0,1,58,31.0,,4,0,C,2,3,6090
142,WH_100142,EID_50142,Rural,Large,West,Zone 6,1,0,2,3775,Company Owned,17,1,0,1,114,42.0,,20,0,A+,1,23,28133
143,WH_100143,EID_50143,Rural,Small,South,Zone 1,3,0,2,4480,Company Owned,50,0,0,1,200,24.0,2015.0,17,0,B,5,16,21136
144,WH_100144,EID_50144,Rural,Large,South,Zone 5,2,0,3,4937,Rented,40,0,0,0,260,18.0,,10,0,B,6,14,12118
145,WH_100145,EID_50145,Rural,Mid,South,Zone 4,1,0,2,4763,Company Owned,16,1,0,1,215,27.0,,39,0,B+,4,26,48139
146,WH_100146,EID_50146,Rural,Small,North,Zone 1,7,3,4,4838,Rented,26,0,0,0,97,18.0,2006.0,21,1,A+,5,3,28151
147,WH_100147,EID_50147,Rural,Mid,North,Zone 4,3,0,3,5861,Company Owned,55,1,0,1,106,35.0,2000.0,24,0,A,4,26,30126
148,WH_100148,EID_50148,Rural,Large,North,Zone 5,7,1,3,5420,Company Owned,58,0,0,0,134,25.0,2009.0,22,0,B+,3,17,27147
149,WH_100149,EID_50149,Rural,Mid,South,Zone 2,6,0,2,4114,Rented,53,0,0,0,133,24.0,2011.0,18,1,B,4,32,23135
150,WH_100150,EID_50150,Rural,Mid,West,Zone 3,0,0,5,4028,Company Owned,58,0,0,0,218,45.0,,23,0,B,5,19,26084
151,WH_100151,EID_50151,Rural,Mid,South,Zone 4,0,0,2,4024,Company Owned,66,0,0,0,119,32.0,,24,0,A+,2,26,30105
152,WH_100152,EID_50152,Rural,Mid,West,Zone 3,1,2,3,4790,Rented,47,0,0,0,206,22.0,,21,0,C,3,27,26123
153,WH_100153,EID_50153,Rural,Mid,West,Zone 3,6,0,4,4340,Rented,18,0,0,0,80,19.0,2002.0,26,0,B+,4,19,30145
154,WH_100154,EID_50154,Rural,Mid,North,Zone 3,5,5,2,3826,Company Owned,50,0,0,1,239,26.0,,24,0,B,5,27,27112
155,WH_100155,EID_50155,Rural,Small,South,Zone 6,1,4,3,4818,Company Owned,55,0,0,1,94,31.0,,4,0,C,3,9,6097
156,WH_100156,EID_50156,Rural,Large,North,Zone 5,3,0,4,4137,Company Owned,50,0,0,1,256,26.0,2007.0,23,0,B+,2,17,27058
157,WH_100157,EID_50157,Rural,Small,West,Zone 1,1,0,3,4884,Rented,31,0,1,1,206,32.0,,12,0,B+,5,30,15110
158,WH_100158,EID_50158,Rural,Large,North,Zone 6,4,0,3,4497,Rented,52,0,0,1,181,32.0,2012.0,20,0,A,2,28,27119
159,WH_100159,EID_50159,Rural,Small,West,Zone 1,1,0,4,4751,Rented,43,0,0,1,233,28.0,,19,0,B+,3,30,23137
160,WH_100160,EID_50160,Rural,Large,North,Zone 6,1,0,4,4107,Rented,68,1,0,1,234,40.0,,26,0,A,5,28,34138
161,WH_100161,EID_50161,Rural,Mid,West,Zone 4,4,1,4,5443,Rented,45,0,0,1,234,20.0,,15,0,A,6,11,19103
162,WH_100162,EID_50162,Rural,Large,West,Zone 5,5,0,3,4948,Company Owned,45,0,0,1,160,23.0,,20,0,B+,4,25,23084
163,WH_100163,EID_50163,Rural,Mid,South,Zone 2,4,0,2,6385,Company Owned,46,0,1,0,164,28.0,2018.0,13,1,C,2,22,18151
164,WH_100164,EID_50164,Rural,Large,West,Zone 6,4,0,5,4583,Rented,19,0,0,1,235,30.0,1997.0,25,0,B+,4,6,29116
165,WH_100165,EID_50165,Rural,Large,North,Zone 6,2,0,2,5017,Company Owned,37,0,0,0,248,20.0,,24,0,B,2,6,28064
166,WH_100166,EID_50166,Rural,Mid,West,Zone 3,5,0,4,4760,Company Owned,53,0,0,1,91,29.0,2000.0,32,0,B,6,27,40088
167,WH_100167,EID_50167,Rural,Mid,North,Zone 2,3,0,4,3972,Company Owned,30,0,0,1,152,47.0,2017.0,10,1,A+,1,12,15090
168,WH_100168,EID_50168,Rural,Large,North,Zone 6,5,1,3,5981,Rented,18,0,0,1,240,29.0,2009.0,24,1,A+,2,23,32055
169,WH_100169,EID_50169,Rural,Mid,North,Zone 4,3,0,2,3521,Rented,65,0,0,0,81,25.0,2006.0,33,0,C,2,26,43066
170,WH_100170,EID_50170,Rural,Small,South,Zone 6,4,3,3,8736,Rented,63,0,1,1,187,,2017.0,6,1,B,5,15,7120
171,WH_100171,EID_50171,Rural,Large,South,Zone 6,8,0,2,5390,Company Owned,70,0,0,0,264,22.0,2016.0,14,1,A+,6,29,21059
172,WH_100172,EID_50172,Rural,Mid,North,Zone 3,8,0,3,4671,Rented,43,0,0,1,142,35.0,2017.0,6,0,A,2,27,8100
173,WH_100173,EID_50173,Rural,Large,North,Zone 6,7,1,3,8137,Rented,33,0,0,1,101,23.0,2015.0,13,0,B+,1,28,16116
174,WH_100174,EID_50174,Rural,Mid,West,Zone 4,3,1,2,6614,Company Owned,60,0,0,1,186,31.0,,15,0,A,6,26,19114
175,WH_100175,EID_50175,Rural,Mid,South,Zone 3,3,0,2,4547,Company Owned,24,0,0,1,246,34.0,,5,0,A,3,19,6134
176,WH_100176,EID_50176,Rural,Mid,South,Zone 4,3,0,2,7896,Rented,63,0,0,0,176,15.0,2023.0,0,0,,0,26,6057
177,WH_100177,EID_50177,Rural,Mid,West,Zone 3,8,3,4,3583,Rented,24,0,0,1,227,27.0,,5,0,B,6,19,6106
178,WH_100178,EID_50178,Rural,Large,South,Zone 5,8,0,2,4532,Company Owned,40,0,0,1,212,27.0,2008.0,24,1,B,5,14,31076
179,WH_100179,EID_50179,Rural,Mid,North,Zone 2,1,0,2,8236,Company Owned,26,0,0,1,267,29.0,,9,0,B,1,1,12129
180,WH_100180,EID_50180,Rural,Large,North,Zone 6,0,1,3,3988,Rented,28,0,0,1,211,30.0,,29,0,A+,4,28,38151
181,WH_100181,EID_50181,Urban,Mid,South,Zone 4,4,3,2,6468,Rented,24,0,0,0,80,29.0,,12,0,A,4,26,15087
182,WH_100182,EID_50182,Rural,Mid,West,Zone 4,7,0,4,5620,Company Owned,68,0,0,1,221,25.0,2008.0,22,1,A+,5,11,32056
